"Country","timePeriod","stability","stabilityOverall","stabilityReduced","yield","yieldOverall","yieldReduced","areaHarvested","areaHarvestedOverall","areaHarvestedReduced","diversity","fertilizer","irrigation","instabilityTemp","instabilityPrec"
"MDG",2008,39.0358319405172,79.31276802551,79.2250160493813,7331916.81272321,11105982.0838308,11115779.6534804,2698406.7,1036760405.2,1034061998.5,10.8326622103347,0.00203830694444444,2.62222222222222,-87.5980357341105,-6.52338600359054
"MWI",1968,16.4832290266022,55.9280514982896,55.9142890092939,3404054.34947105,5966405.14992592,5973742.75660898,1952125.8,683317235.9,681365110.1,6.07657753039292,0.0051063945713012,0.224,-76.9173425600143,-7.20883684992794
"MWI",1978,43.543013162856,43.5522329809595,43.4925252273759,3659811.58839196,7246510.95729694,7256361.71240572,2068157.3,757282355.1,755214197.8,6.30225460609229,0.0103341558804358,0.447,-52.2812318406938,-5.84418477934014
"MWI",1988,5.56312343437179,46.5117148759307,46.2154118590913,3511768.22493088,8371455.82621912,8386062.13759196,2290260.4,764378820.4,762088560,6.77873142302588,0.0145160660909997,0.668,-72.30319881262,-4.66718715258245
"MWI",1998,4.68218343522206,52.3896896313686,52.6582421111159,4979068.47952326,9343341.00072646,9359019.33347113,2961067.8,830808260.5,827847192.7,7.86810394647525,0.0177464659685864,1.252,-47.9672978317348,-6.4056170718258
"MWI",2008,11.3516893871998,76.8458078684734,76.5716959613043,6724353.3132644,10848772.4903363,10864036.3278499,3711185.7,1003538399.9,999827214.2,8.54402931491038,0.0213699906604403,1.30444444444444,-43.3724316980885,-8.81666025640061
"MYS",1968,35.2549116822427,55.4331024667928,54.9847052698615,9662873.28635664,7220628.53111942,7210435.70912294,1537147.7,379905819.1,378368671.4,5.09757220708808,0.0196352410582181,6.831,-122.352949971805,-11.4474896372052
"MYS",1978,16.4153958027516,34.6738133373453,34.8116428315975,15083549.8978965,8837871.93479751,8802658.1781357,2351052.4,424026560.2,421675507.8,5.26953650322324,0.0333919245234959,6.354,-105.950386710929,-6.72131051124971
"MYS",1988,18.6023406955437,41.4791830459077,40.5610339863232,17910659.145291,10447971.8947403,10378280.5274348,3772433.5,408057193.7,404284760.2,4.3016448029604,0.0427105268787956,5.181,-140.606418763625,-5.15963571513244
"MYS",1998,29.9941428031921,56.3192726663366,54.4890183021233,22170620.9134095,11817895.2632432,11702970.6058532,4986764.4,456217251.3,451230486.9,2.82481470481459,0.0713442741902643,5.286,-106.637936904933,-8.03755461412754
"MYS",2008,18.868701927201,73.5055801377171,72.2974360518706,25805189.4434368,13540404.0161202,13401653.5171518,6029456.9,538872840.5,532843383.6,2.21053805990267,0.0600177615022029,5.34777777777778,-75.8990611901526,-5.43451793602
"MLI",1968,12.3735996056429,57.931260281203,57.8640291096666,2685384.90051795,6024096.82468765,6033677.51578755,1903365.4,668488595.4,666585230,7.2173604363567,0.00178101595571475,0.19,-77.0649313971907,-10.35577282757
"MLI",1978,7.59512211590882,46.750450585849,46.7695564464246,3090622.97373593,7669464.86687361,7682788.18031464,1993258.6,693841846.6,691848588,6.98695784917893,0.0038465185327076,0.19,-64.5490952867496,-8.63113056448533
"MLI",1988,7.75429056760184,45.9097362718376,45.8095242560706,2982923.8476104,8736520.24870256,8762422.50738912,3370741.9,758919734.6,755548992.7,7.033458598317,0.00404206155185694,0.237,-89.9782383491152,-8.43443285192182
"MLI",1998,10.4960666228897,58.144501539516,59.16212870457,3402457.96862602,9672080.3467676,9702058.81645117,4124599.4,869743904.7,865619305.3,8.31350225828758,0.0102207202475314,0.658,-68.4785691223632,-9.03888086069488
"MLI",2008,10.5715401655057,80.6247573966149,79.8870193359854,4660279.90928002,11261829.4937138,11303591.6363275,6162798.2,987622323.8,981459525.6,8.46997873537867,0.0175693765788414,0.887777777777778,-113.906569660551,-8.64739721941164
